Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.0,0.5245901639344263,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.5,0.4098360655737705,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,0.1494661921708185,0.19463087248322147,0.2,0.34572490706319703,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.4,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.8688524590163934,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.17437722419928825,0.12416107382550336,0.2,0.05204460966542751,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.800711743772242,0.8825503355704698,0.0,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.0,0.45901639344262296,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9750889679715302,0.5973154362416108,0.2,0.8364312267657993,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.47540983606557374,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.40939597315436244,0.2,0.7434944237918215,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.5771812080536913,0.2,0.6505576208178439,0.0
0.6666666666666666,1.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.0,0.8852459016393442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.9932885906040269,0.2,0.6505576208178439,1.0
0.5555555555555556,1.0,0.0,0.0,0.25,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.1610738255033557,0.4,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,1.0,0.4426229508196721,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.017793594306049824,0.5167785234899329,0.1,0.6505576208178439,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.8688524590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.6442953020134228,0.3,0.6505576208178439,1.0
0.1111111111111111,1.0,0.3225806451612903,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,1.0,0.8852459016393442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.0,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.25,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.042704626334519574,0.040268456375838924,0.0,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,0.0,1.0,0.5551601423487544,0.4697986577181208,0.2,0.1895910780669145,0.0
0.4444444444444444,1.0,,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.819672131147541,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6617100371747212,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.04918032786885246,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.4,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.8612099644128114,0.7651006711409396,0.2,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.0,0.8571428571428571,1.0,0.7377049180327869,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.3,0.6505576208178439,1.0
0.0,1.0,0.25806451612903225,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,0.819672131147541,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.6334519572953736,0.674496644295302,0.2,0.5836431226765799,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.21352313167259787,0.28859060402684567,0.2,0.3754646840148699,0.0
0.0,0.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.06557377049180328,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.34519572953736655,0.610738255033557,0.2,0.1970260223048327,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.9323843416370107,0.8825503355704698,0.3,0.6505576208178439,0.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.08896797153024912,0.6308724832214765,1.0,0.007434944237918215,0.0
0.8888888888888888,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.8576512455516014,0.5838926174496645,0.0,0.6505576208178439,0.0
0.1111111111111111,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,1.0,0.7295373665480427,0.6812080536912751,0.2,0.2899628252788104,0.0
0.4444444444444444,1.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.8362989323843416,0.6543624161073825,0.4,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.5,0.4098360655737705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.05693950177935943,0.41946308724832215,0.2,0.6505576208178439,0.5
1.0,1.0,,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.7377049180327869,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.3202846975088968,0.47315436241610737,0.2,0.9962825278810409,1.0
0.8888888888888888,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5,0.4098360655737705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.3,0.6505576208178439,1.0
0.4444444444444444,1.0,0.0,0.0,0.0,1.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.8360655737704918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,1.0
0.2222222222222222,1.0,0.25806451612903225,1.0,0.25,1.0,0.0,0.5714285714285714,0.0,0.5,0.4098360655737705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.5353159851301115,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.5658362989323843,0.4261744966442953,0.2,0.6505576208178439,0.0
0.2222222222222222,1.0,0.3225806451612903,0.0,0.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.9228187919463087,0.0,0.6505576208178439,1.0
0.8888888888888888,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.5,0.6557377049180327,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,,0.5,1.0,0.9323843416370107,0.2785234899328859,0.2,0.7843866171003717,0.5
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,1.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.819672131147541,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,0.5,1.0,0.7402135231316725,0.5838926174496645,0.2,0.6914498141263941,0.5
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.7330960854092526,0.8825503355704698,0.2,0.6840148698884758,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.3701067615658363,0.5503355704697986,0.2,0.17843866171003717,0.0
0.3333333333333333,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.5302491103202847,0.436241610738255,0.2,0.31226765799256506,0.0
1.0,1.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.5,1.0,0.5516014234875445,0.40939597315436244,0.2,0.3903345724907063,0.5
0.1111111111111111,1.0,0.6774193548387096,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.1387900355871886,0.09060402684563758,0.0,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.19463087248322147,0.1,0.6505576208178439,0.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.608540925266904,0.37919463087248323,0.2,0.22304832713754646,0.0
0.4444444444444444,1.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.31316725978647686,0.19463087248322147,0.2,0.18587360594795538,0.0
0.4444444444444444,1.0,0.41935483870967744,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,0.0
0.4444444444444444,0.0,0.2903225806451613,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.8852459016393442,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,0.35231316725978645,0.40939597315436244,0.2,0.6505576208178439,1.0
0.7777777777777778,1.0,0.3225806451612903,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.40569395017793597,0.07046979865771812,0.2,0.2936802973977695,0.0
0.5555555555555556,1.0,0.25806451612903225,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.06557377049180328,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.4483985765124555,0.7214765100671141,0.2,0.6505576208178439,0.0
0.2222222222222222,1.0,0.25806451612903225,1.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.7348993288590604,0.2,0.5687732342007435,0.5
0.0,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.0,0.8571428571428571,0.5,0.4098360655737705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.40939597315436244,0.2,0.8141263940520446,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.37722419928825623,0.42953020134228187,0.2,0.040892193308550186,0.0
0.7777777777777778,1.0,0.0,0.0,0.0,1.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.3309608540925267,0.9362416107382551,0.0,0.6505576208178439,0.0
0.4444444444444444,1.0,0.03225806451612903,0.0,0.0,1.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,1.0,0.14590747330960854,0.7214765100671141,0.2,0.12639405204460966,1.0
0.0,1.0,0.25806451612903225,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,0.8688524590163934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.6476868327402135,0.8959731543624161,0.2,0.5985130111524164,0.5
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,1.0,0.8852459016393442,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.6797153024911032,0.8825503355704698,0.2,0.8215613382899628,1.0
0.4444444444444444,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8360655737704918,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.010676156583629894,0.0,0.2,0.7769516728624535,1.0
0.1111111111111111,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0071174377224199285,0.4664429530201342,0.9,0.6505576208178439,0.0
0.2222222222222222,1.0,0.3225806451612903,0.6666666666666666,0.25,1.0,0.0,0.5714285714285714,0.0,0.0,0.04918032786885246,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.6298932384341637,0.7718120805369127,0.2,0.79182156133829,1.0
0.0,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5,0.4098360655737705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.7281879194630873,0.2,0.8587360594795539,1.0
0.7777777777777778,1.0,0.25806451612903225,0.0,0.25,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.3114754098360656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.8825503355704698,0.1,0.6505576208178439,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.0,0.0,0.8688524590163934,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.8825503355704698,0.2,0.8810408921933085,0.5
0.0,1.0,0.25806451612903225,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,0.8688524590163934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.714765100671141,0.2,0.4795539033457249,1.0
0.5555555555555556,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.4865771812080537,0.0,0.6505576208178439,0.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.8825503355704698,0.2,0.4052044609665427,0.0
0.0,1.0,0.8709677419354839,0.0,0.0,1.0,0.0,0.5714285714285714,0.0,0.0,0.9672131147540983,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,1.0,0.0,0.9323843416370107,0.8758389261744967,0.2,0.16356877323420074,1.0
0.6666666666666666,1.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.3114754098360656,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.5,1.0,0.8540925266903915,0.7214765100671141,0.2,0.7397769516728625,0.5
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6059479553903345,0.0
0.5555555555555556,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.03278688524590164,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.9323843416370107,0.49328859060402686,0.0,0.6505576208178439,0.0
0.3333333333333333,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,0.0,0.06557377049180328,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.5693950177935944,0.33221476510067116,0.2,0.6505576208178439,0.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.6120996441281139,0.050335570469798654,0.2,0.1449814126394052,0.0
0.2222222222222222,1.0,0.25806451612903225,0.6666666666666666,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,,0.0,1.0,0.30604982206405695,0.18456375838926176,0.2,0.6505576208178439,1.0
0.4444444444444444,1.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8360655737704918,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.29537366548042704,0.2348993288590604,0.2,0.1412639405204461,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4098360655737705,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.896797153024911,0.9060402684563759,1.0,0.8401486988847584,0.0
0.3333333333333333,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,1.0,0.8852459016393442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.9323843416370107,0.8825503355704698,0.2,0.6505576208178439,0.5
0.8888888888888888,1.0,0.3225806451612903,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8360655737704918,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.13167259786476868,0.3422818791946309,0.2,0.08921933085501858,1.0
0.2222222222222222,1.0,0.25806451612903225,0.0,0.25,1.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.04918032786885246,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.5,1.0,0.6405693950177936,0.7953020134228188,0.0,0.6505576208178439,0.5
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.4,0.5714285714285714,0.8571428571428571,0.5,0.4098360655737705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.2775800711743772,0.19463087248322147,0.0,0.6505576208178439,1.0
0.3333333333333333,1.0,0.25806451612903225,0.0,0.25,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.03278688524590164,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.45907473309608543,0.19798657718120805,0.0,0.6505576208178439,0.0
0.3333333333333333,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.09836065573770492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.5,1.0,0.6654804270462633,0.5939597315436241,0.2,0.6468401486988847,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.199288256227758,0.48322147651006714,0.2,0.37174721189591076,1.0
0.4444444444444444,1.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.5714285714285714,0.8571428571428571,0.0,0.8688524590163934,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.19217081850533807,0.14093959731543623,0.2,0.4721189591078067,1.0
