Study Class,Treatment Focus (Study level),Clinical Setting,Study Design,Subscale/Symptom Cluster Data,Subgroup Analysis,Allowed PTSD Psychotherapy Co-Intervention,Allowed Other Psychotherapy Co-Intervention,Allowed Psychotropic Med Co-Intervention,Diagnosis Assessment Type,Diagnostic Measure,Diagnostic Measure Detail,Depression Outcome Assessed,Anxiety Outcome Assessed,Sleep Outcome Assessed,Anger Outcome Assessed,Functioning Outcome Assessed,Substance Use Outcome Assessed,Quality of Life Outcome Assessed,Suicide or Self-Harm Related Outcomes,Serious Harms Assessed,Risk of Bias Rating,Patients with Suicidality Excluded,Suicide and Self-Directed Violence Related Inclusion and Exclusion Criteria,Psychotic Disorder and Symptom Related Inclusion and Exclusion Criteria,Trauma Type,Trauma Detail,PTSD Severity
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,1,0,1,1,Clinical diagnosis,DSM,DSM-IV-TR criteria,0,0,1,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""significant risk of suicidal/homicidal intent or behavior""","Excluded: ""a history of schizophrenia-spectrum diagnosis, a history of active (past 2 months) psychosis""",Mixed,"child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, accidents, illness/medical procedure, other (""exposed to violent death"")",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and PCL,DSM-IV and CAPS and PCL-C,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: meeting criteria for a psychotic illness,Mixed,"Rape/sexual assault; Intimate partner violence; Accidents; Community/school violence; Natural or manmade disasters; Other (childhood trauma, not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Clinical diagnosis,DSM,Clinical diagnosis,1,0,1,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded patients with any psychotic disorder,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Other (tertiary mental health centers with specialist PTSD treatment services),Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5 criteria,1,1,0,0,0,1,1,0,1,Low,1,Excluded: suicidal ideation,"Excluded: ""psychotic illness""",Mixed,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I and PDS,"PDS for initial screening, confirmed with PSS-I for DSM-IV",1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, community/school violence, accidents, combat-related, other (witness to a murder)",Low
Other mixed,PTSD,Acute inpatient,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SCID and M-PTSD,SCID for DSM-III-R and M-PTSD (Persian version) >107,0,0,1,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Self report,PCL and PDSQ,PCL-M ≥40 or Psychiatric Diagnostic Screening Questionnaire 5,1,1,1,1,0,0,0,0,1,High,1,"Excluded: ""suicidal or homicidal ideation""","Excluded: ""evidence of psychotic behavior""",Mixed,"MST, combat-related, community/school violence",High
Psychotherapy & pharmacotherapy,PTSD+SUD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS,1,0,0,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""current suicidal ideation""","Excluded: ""current psychotic… disorders""",Mixed,"rape/sexual assault, accidents, community/school violence, other (childhood trauma not specified)",Medium
Psychotherapy,PTSD,Primary care clinic,Parallel,Cluster-level,1,0,0,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation or intent as assessed at clinical interview,Excluded: past or present psychotic illness,Mixed,"accidents, rape/sexual assault, community/school violence, other (traumatic death, not specified)",Low
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,1,0,0,0,0,1,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""had… schizophrenia""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥45,1,0,0,0,1,0,0,0,1,Some Concerns,1,Excluded patients with high current suicidality or homicidally,Excluded patients with current psychosis,Other,military-related,High
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,MINI,MINI for DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: lifetime psychotic disorder,Mixed,"other (childhood trauma unspecified, adult trauma unspecified)",Medium
Psychotherapy,PTSD+SUD,Other (minimum security jail residential substance abuse treatment program),Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-I for DSM-IV criteria,0,0,0,0,0,1,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""actively psychotic (hallucinating or delusional) at the time of recruitment""",Mixed,"rape/sexual assault, community/school violence",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,0,0,1,0,1,Some Concerns,1,"Excluded: ""suicidal/homicidal ideation… or engagement in self-mutilation… determined by self-report screens and/or medical record review""","Excluded: ""presence of psychotic or bipolar/manic symptoms within the past month… determined by self-report screens and/or medical record review""",Mixed,"MST, combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS according to DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"accidents, terrorism/political violence/forced displacement, other (physical abuse)",High
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV-TR,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychotic disorder,Mixed,"combat-related, other (not specified)",Low
CIH,PTSD,Acute inpatient,Parallel,N,0,0,1,1,Self report,PCL,PCL >50,0,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""psychological disorder background"" (no further details)",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,Clinician diagnosed using DSM-IV criteria,1,1,0,0,0,1,0,0,1,High,1,Excluded: suicidal ideation,Excluded: history of psychosis,Mixed,"other (sexual abuse, physical abuse or physical threatening or negligence, emotional abuse)",Low
CIH,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,"PTSD diagnosis, not further specified",0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,1,1,Structured Clinical Interview,CAPS and SCID,SCID for DSM-IV and CAPS-DX ≥50,1,1,0,0,0,0,0,0,1,High,1,Excluded: serious suicidal risk,Excluded: diagnosis at any time with schizophrenia,Mixed,"combat-related, other (""victim of war or witness of war event,"" ""witness of another person's death"")",Low
Other study class,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,Self-rating Scale for PTSD,"At least 6 questions answered positively (at least 1 re-experiencing, 3 avoidance, and 2 irritability questions).",0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""severe psychological problems""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5,0,0,0,0,1,0,0,0,1,High,1,"Excluded: ""imminent suicidality""","Excluded: ""current uncontrolled psychotic symptoms""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,1,0,0,1,0,1,High,1,"Excluded: ""presence of active suicidality or a history of two or more suicide gestures or attempts in the preceding year""","Excluded: ""current diagnosis of... schizophrenia, schizoaffective disorder, schizophreniform disorder, brief reactive psychosis, psychotic disorder not otherwise specified… or depression accompanied by delusions, hallucinations, or bizarre behavior""",Child sexual abuse,"combat-related, other (not specified)",High
Other study class,PTSD,Mixed,Parallel,Cluster-level,0,1,1,1,Self report,PCL,PCL for DSM-IV >50,1,0,0,0,0,1,0,0,1,High,1,"Excluded: ""acute suicidality""","Excluded: ""psychosis""",Mixed,"MST, combat-related",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: active psychosis,Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Structured Clinical Interview,CAPS and DSM,Clinician diagnosed using DSM-III criteria and CAPS ≥45,0,0,0,0,0,0,0,0,1,High,1,Excluded: at immediate risk of suicide,Excluded: psychosis,Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Item-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-1 for DSM-IV,1,1,0,1,1,0,1,0,1,High,1,"Excluded: ""severe depression"" and ""severe depression with suicidality.""","Excluded: ""psychosis""",Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,0,Clinical diagnosis,DSM,Clinician diagnosed using DSM-III-R criteria,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: schizophrenia, depression accompanied by delusions or hallucinations",Rape/sexual assault,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,"Excluded: ""current suicidal risk""","Excluded: ""history of psychosis""",Mixed,"accidents, community/school violence",High
Other mixed,PTSD,Outpatient clinic,Crossover all periods,Cluster-level,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV (German translation),0,0,0,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: lifetime history of psychosis,Mixed,"rape/sexual assault, child sexual abuse, community/school violence, accidents, natural or manmade disasters, other (""non-sexual violence by a family member"")",Low
Other study class,PTSD,Other (community-based fitness center),Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 for DSM-5 criteria,1,0,1,0,0,0,1,0,1,High,1,Excluded: suicidal ideation,Excluded: lifetime history of any psychiatric disorder with psychotic features,Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I,PSS-I,1,0,0,0,0,0,0,1,1,Some Concerns,1,"Excluded: ""current suicide risk meriting crisis intervention""","Excluded: ""active psychosis""",Mixed,"combat-related, child sexual abuse",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR ≥45,1,1,0,0,1,0,0,0,1,Some Concerns,1,Excluded: imminent suicidality,Excluded: current psychotic symptoms,Mixed,"combat-related, other (not specified)",High
Nonpharmacologic biological,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,MINI and DSM,MINI and DSM-IV,1,1,0,0,0,0,0,0,1,Some Concerns,1,Excluded: those with active suicidal ideation,Excluded: diagnosis of psychotic illness,Mixed,"Rape/sexual assault; Other (exposure to actual or threatened death or serious injury, and witnessing such incidents)",Medium
CIH,PTSD,Outpatient clinic,Parallel,N,0,1,1,1,Self report,PCL,PCL-17 ≥57,0,1,1,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"rape/sexual assault, child sexual abuse, intimate partner violence, terrorism/political violence/forced displacement, illness/medical procedure, accidents, other (emotional abuse, systemic discrimination, compassion fatigue)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and MINI,MINI and CAPS for DSM-IV ≥45,1,0,0,0,1,0,0,0,1,Some Concerns,1,"Excluded: ""serious risk of suicidal behavior""","Excluded: ""history of psychosis""",Mixed,"rape/sexual assault, accidents, community/school violence",Medium
Nonpharmacologic cognitive,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Self report,PDS,PDS for DSM-5 score ≥21,0,0,0,0,0,0,0,0,1,High,1,"Excluded: ""suicidality was ruled out via QIDS administration""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I,PSS-I for DSM-IV-TR,0,0,0,0,0,0,0,1,1,Low,1,Excluded: suicidal ideation,Excluded: current psychotic disorder,Mixed,"combat-related, other (not specified)",Low
Other study class,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-IV criteria documented in medical chart,1,0,0,0,0,1,0,1,1,High,1,"Excluded: ""imminent risk of suicide or violence""",Excluded: psychosis,Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,1,0,1,1,0,0,0,1,High,1,Excluded: acute suicidality in the previous 3 months requiring hospitalization or referral to the emergency room,Excluded: current psychotic symptoms,Mixed,"child physical abuse, child sexual abuse, child other abuse, intimate partner violence, rape/sexual assault, community/school violence, other (""other interpersonal victimization"")",High
Psychotherapy,PTSD+SUD,Outpatient clinic,Parallel,N,0,0,1,1,Clinical diagnosis,DSM,DSM-IV criteria,0,0,0,0,0,1,0,0,1,Some Concerns,1,"Excluded: ""acute suicidality/homicidally with intent/plan""","Excluded: ""uncontrolled psychotic disorder""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,Cluster-level,1,0,0,1,Structured Clinical Interview,SCID,SCID-IV for DSM-IV-TR,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded patients with current psychotic disorder,Mixed,"rape/sexual assault, accidents, community/school violence",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,MINI,MINI 7.0.2 for DSM-5,0,0,0,1,0,0,0,0,1,High,1,Excluded: serious suicidal ideations,"Excluded: psychosis, serious dissociation",Mixed,"Combat-related, Terrorism/political violence/forced displacement, Community/school violence, Accidents, Other (""being close to death"", ""lack of shelter"", ""lack of food and water"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,0,0,1,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""schizophrenia and other psychotic disorders""",Combat-related,"combat-related, other (not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,1,1,0,Structured Clinical Interview,MINI,MINI,1,1,0,0,0,0,0,0,1,High,1,Excluded: significant suicidality,"Excluded: lifetime history of schizophrenia 



Allowed: psychotic symptoms in conjunction with depression",Mixed,"rape/sexual assault, intimate partner violence, child physical abuse, community/school violence, other (violent death of a loved one)",Low
Other study class,PTSD,Mixed,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS and MINI,DSM-5 diagnosis on MINI 7.0.2 and CAPS-5 ≥23,1,1,0,0,0,0,0,0,1,Low,1,"Excluded: ""high suicidal risk""",Excluded: psychosis,Mixed,"Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Other (""traumatic loss of loved one""; ""life-threatening injury"")",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV ≥45,1,1,0,0,1,1,1,0,1,Low,1,"Excluded: ""prominent current suicidal or homicidal ideation"" or ""self-mutilation within the past



6 months""","Excluded: ""current



psychotic symptoms""",Mixed,"combat-related, MST, rape/sexual assault, community/school violence, natural or manmade disasters, illness/medical procedure, accidents, other (sexual trauma, not specified)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,SCID and SI-PTSD,SCID for DSM-III-R and SI-PTSD for DSM-IV,0,0,0,0,1,0,0,0,1,High,1,Excluded: current or recurrent or recent risk of suicide,Excluded: history of psychosis,Mixed,"rape/sexual assault, accidents, illness/medical procedure, community/school violence, natural or manmade disasters. other (traumatic bereavement, father in intensive care unit, witnessed emotional abuse)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,SCID,SCID-I for DSM-IV,1,1,0,0,0,0,0,0,1,High,1,Excluded: current suicidality,Excluded: psychosis,Mixed,"rape/sexual assault, community/school violence, accidents",Low
Psychotherapy,PTSD+SUD,Mixed,Parallel,N,0,0,1,1,Self report,Breslau’s Short Screening Scale,Breslau's Short Screening Scale score ≥4,0,0,0,0,0,1,0,0,1,High,1,"Excluded: ""endorsed active suicidality""","Excluded: ""endorsed...hallucinations""",Mixed,"combat-related, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,CAPS and SCID,SCID-IV and CAPS according to DSM-IV ≥50,1,1,0,0,1,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"child sexual abuse, child physical abuse, intimate partner violence, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (non-specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5,0,0,0,0,0,0,0,0,1,Some Concerns,1,"Excluded: ""current suicide or homicide risk meriting crisis intervention""","Excluded: ""active psychosis""",Mixed,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,0,0,1,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV-TR,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""unmanaged dementia, psychosis, or manic episodes in the past year""",Mixed,"combat-related, rape/sexual assault, accidents, community/school violence, other (unspecified type of child abuse, ""unexpected death"", ""others"")",High
Psychotherapy,PTSD,Residential inpatient,Parallel,Cluster-level,0,0,1,1,Clinical diagnosis,DSM,diagnosis determined by psychiatrist based on DSM-5 criteria,1,0,0,0,0,0,0,1,1,High,0,Allowed (suicidality reported at baseline),"Excluded: ""history of psychotic disorders, [or] any other disorders with psychotic symptoms""",Mixed,Child physical abuse; Child sexual abuse; Child other abuse,Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS-5 ≥25 and DSM-5 criteria,1,1,1,0,0,0,0,0,1,Low,1,"Excluded: ""serious suicidal or homicidal risk""","Excluded: ""active psychosis""",Mixed,"Combat-related; Child physical abuse; Child sexual abuse; Rape/Sexual assault; Other (""adult physical abuse"")",High
Other study class,PTSD,Other (web or mobile application),Parallel,N,0,0,1,1,Self report,PCL,PCL-5 ≥33,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""reported severe mental health or psychotic symptoms""",Mixed,"combat-related, other (not specified)",Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS and PCL,CAPS for DSM-IV and PCL ≥35,1,0,0,0,0,0,0,0,1,Low,1,Excluded patients with suicide attempts,Excluded: psychosis,Mixed,"rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (death of family members)",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and SCID,Clinician diagnosed using DSM-III-R using SCID criteria and CAPS-1 for DSM-III-R ≥50,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: significant risk of suicide,"Excluded: psychotic disorder (schizophrenia, schizoaffective disorder, or mood disorder with psychotic features) in the last 6 months",Mixed,"child physical abuse, child sexual abuse, child other abuse",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,MINI,MINI for DSM-IV,0,0,1,0,0,0,0,0,1,Low,1,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, accidents, natural or manmade disasters, other (not specified)",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,CAPS and SCID,CAPS-2 according to DSM-IV and SCID for DSM-IV,1,0,0,0,0,0,0,0,1,High,1,Excluded: current suicidal ideation,Excluded: a history of schizophrenia or schizoaﬀective disorder,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Self report,IES,IES-R for DSM-5,0,0,0,0,1,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""active psychosis""",Rape/sexual assault,"combat-related, other (not specified)",Low
CIH,PTSD,Primary care clinic,Parallel,N,0,0,0,0,Self report,PCL,PCL ≥50,0,0,0,1,1,0,1,0,1,Some Concerns,1,"Excluded: ""severe suicidality""","Excluded: ""presence of psychotic symptoms""",Combat-related,"combat-related, other (not specified)",Medium
Psychotherapy & pharmacotherapy,PTSD,Other,Parallel,N,0,0,1,0,Structured Clinical Interview,CAPS and SCID,SCID I and II for DSM-IV-TR and CAPS ≥50,0,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: history of psychotic illness,Mixed,"child sexual abuse, rape/sexual assault, accidents, illness/medical procedure",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,CAPS,CAPS,1,1,0,1,0,1,0,0,1,Some Concerns,1,Excluded: current suicide ideation,Excluded: current uncontrolled psychosis,Other,"""military-related""",High
CIH,PTSD,Other (intensive outpatient rehabilitation for TBI and co-occurring psychological health concerns),Parallel,N,0,1,1,1,Clinical diagnosis,DSM,Diagnosis of PTSD in medical record,1,1,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,"Excluded: ""active psychosis""",Mixed,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Mixed,Parallel,Cluster-level,0,1,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV,1,1,1,0,1,0,1,0,1,Some Concerns,1,"Excluded: ""acute serious suicide risk""","Excluded: ""history of psychosis""",Mixed,"child other abuse, rape/sexual assault, accidents, community/school violence, natural or manmade disasters, other (traumatic death of others, not specified)",Medium
Other mixed,PTSD,Outpatient clinic,Parallel,N,1,0,0,0,Structured Clinical Interview,SCID and PCL,SCID for DSM-IV and PCL-S ≥45,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""acute suicidal ideation""",Excluded: psychotic disorders,Mixed,"Combat-related; Rape/sexual assault; Accidents; Community/school violence; Terrorism/political violence/forced displacement; Other (""life threatening event"", ""sudden unexpected death"")",Low
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,1,1,1,0,Structured Clinical Interview,CAPS,CAPS for DSM-III-R ≥45,1,0,0,1,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: schizophrenia,Mixed,"combat-related, child physical abuse, child sexual abuse, rape/sexual assault, community/school violence, terrorism/political violence/forced displacement",High
Pharmacotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,0,Structured Clinical Interview,SCID,SCID for DSM-IV,1,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: acute suicidality,Excluded: lifetime history of psychotic disorder,Mixed,"combat-related, rape/sexual assault",Medium
Psychotherapy,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,SCID,SCID for DSM-IV (Iranian version),1,0,0,0,0,0,0,0,1,High,1,Excluded: suicidal ideation,Excluded: psychosis,Combat-related,"combat-related, other (not specified)",Low
Psychotherapy,PTSD,Other (internet),Parallel,Cluster-level,0,0,0,1,Structured Clinical Interview,SCID,SCID-5,1,1,0,0,0,0,1,0,1,High,1,"Excluded: ""high risk of suicide (i.e. serious suicide attempts within the last 3 [years] or a current intent)""","Excluded: ""participants who reported psychotic tendencies""",Mixed,Rape/sexual assault; Child sexual abuse; Other (not specified),Low
Other mixed,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Structured Clinical Interview,CAPS,CAPS for DSM-IV,1,0,0,0,1,0,0,0,1,Some Concerns,1,Excluded: suicidal ideation,"Excluded: ""history of psychiatric comorbidities including...psychotic symptoms""",Combat-related,"combat-related, other (not specified)",High
Other mixed,PTSD,Outpatient clinic,Parallel,Cluster-level,0,0,1,1,Structured Clinical Interview,MINI and PCL,MINI for DSM-IV and PCL-5 ≥40,1,1,0,0,0,0,0,0,1,Some Concerns,0,Excluded: suicidal ideation,"Excluded: ""acute or chronic delusional conditions""",Mixed,Combat-related; Rape/sexual assault; Accidents; Illness/medical procedure; Community/school violence; Terrorism/political violence/forced displacement; Other (injury threatening survival),Medium
Psychotherapy & pharmacotherapy,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Structured Clinical Interview,CAPS,CAPS-IV,0,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""participants who in the investigator’s judgment pose

a current suicidal or homicidal risk""","Excluded: ""lifetime or current diagnosis of schizophrenia or other psychotic disorder""",Combat-related,"combat-related, other (not specified)",High
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,0,Self report,PCL,PCL-5 ≥30,1,1,0,0,0,0,0,0,1,High,1,Excluded: ongoing self-harm/suicidal ideation,Excluded: diagnosis of psychotic disorder,Other,"traumas experienced as first responders (e.g. witnessing deaths; witnessing victims of child physical abuse, rape/sexual assault, intimate partner violence, accidents, pregnancy loss, community/school violence, and natural or manmade disasters (fire); threat of own death in a fire)",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,1,1,Structured Clinical Interview,PSS-I and MINI,MINI 5.0 and PSS-I ≥20,1,0,0,0,0,0,0,0,1,Low,1,"Excluded: ""deemed at high risk for suicidal behavior (ie, with intent, plan, or both)""","Excluded: ""current psychotic symptoms""",Mixed,"combat-related, rape/sexual assault, child sexual abuse, community/school violence, terrorism/political violence/forced displacement, accidents",Low
Psychotherapy,PTSD,Outpatient clinic,Parallel,N,0,0,0,1,Self report,PDS and DSM,International Diagnostic Checklists for DSM-IV and PDS >18,0,0,0,0,0,0,0,0,1,Some Concerns,1,Excluded: current suicidality,Excluded: patients reporting ongoing distress from psychosis,Mixed,"accidents, illness/medical procedure, other (""interpersonal"", ""loss"", not specified)",Low
Psychotherapy & CIH,PTSD,Outpatient clinic,Parallel,N,1,0,1,1,Clinical diagnosis,DSM,ICD-10 diagnosis and PCL-5 score ≥33,1,1,0,0,0,0,1,0,1,Some Concerns,0,Excluded: suicidal ideation,Excluded: psychosis,Mixed,"combat-related, other (not specified)",Medium
